Iteration,Runtime(ns)
1835,15992600
1836,15997400
1837,17026400
1838,16989800
1839,16996800
1840,15990900
1841,17059500
1842,14999000
1843,16992500
1844,16992700
1845,16992500
1846,16014200
1847,16017400
1848,16992700
1849,16992500
1850,15993200
1851,17032900
1852,17014000
1853,15992900
1854,17013400
1855,16075900
1856,16992200
1857,16994800
1858,16058400
1859,17028200
1860,15990900
1861,17017200
1862,16039000
1863,15990300
1864,17020500
1865,16992400
1866,15993000
1867,17026900
1868,16057600
1869,16992200
1870,15992900
1871,17018700
1872,15995000
1873,17016400
1874,17060900
1875,16990900
1876,15992700
1877,15992700
1878,17034900
1879,16951100
1880,16014800
1881,16989800
1882,17019000
1883,15990300
1884,15995000
1885,17035600
1886,17055300
1887,15994700
1888,17015700
1889,15993000
1890,15992100
1891,16993300
1892,16992700
1893,16992500
1894,15992900
1895,16992500
1896,15995000
1897,17004200
1898,15993000
1899,16992100
1900,16992500
1901,16020700
1902,15991400
1903,17061500
1904,16992500
1905,15991500
1906,16992700
1907,16993300
1908,15992100
1909,15993200
1910,16993100
1911,16991800
1912,15993000
1913,15993500
1914,16991900
1915,16992100
1916,16992500
1917,16034500
1918,15986500
1919,16997400
1920,15994800
1921,17098400
1922,15995900
1923,16991500
1924,17158600
1925,15993000
1926,16994500
1927,17029000
1928,16024500
1929,17014000
1930,16044000
1931,16963500
1932,15994800
1933,16990900
1934,15992700
1935,17013700
1936,16968800
1937,16017800
1938,17139400
1939,16095300
1940,16917500
1941,16992400
1942,16080000
1943,16015700
1944,16992800
1945,16992400
1946,16041600
1947,15996000
1948,17016600
1949,17019000
1950,15992700
1951,16992700
1952,15992600
1953,16990700
1954,16994500
1955,15993300
1956,15992600
1957,16991300
1958,17021700
1959,16998600
1960,16038400
1961,16032800
1962,16994500
1963,16989800
1964,15995000
1965,15990000
1966,17151200
1967,17054400
1968,15992400
1969,17019000
1970,16053100
1971,16931400
1972,17028400
1973,16080900
1974,16995700
1975,16018600
1976,17022000
1977,16995100
1978,15988200
1979,17047100
1980,14973700
1981,17019000
1982,17018400
1983,15992300
1984,16992800
1985,17052000
1986,15993900
1987,17057900
1988,16167100
1989,15990300
1990,17030200
1991,17009600
1992,16996200
1993,15989100
1994,16007200
1995,17021600
1996,16992500
1997,16014200
1998,16034200
1999,16978600
2000,17015800
2001,15994700
2002,17011000
2003,15993000
2004,16990100
2005,17222000
2006,16026900
2007,16994500
2008,15990900
2009,17053800
2010,16991500
2011,16014200
2012,16044600
2013,17016100
2014,16121900
2015,16991300
2016,16996000
2017,16017400
2018,17018700
2019,15995000
2020,15990900
2021,17991400
2022,16024800
2023,15990600
2024,16990600
2025,16996300
2026,15991200
2027,16992400
2028,15992100
2029,17023700
2030,16027800
2031,17101900
2032,16055800
2033,17212300
2034,15995400
2035,17003600
2036,15993800
2037,16993100
2038,16989200
2039,16251400
2040,16994200
2041,15991200
2042,16992800
2043,15991200
2044,16994200
2045,16054600
2046,16992100
2047,16119000
2048,17014000
2049,16992100
2050,16028700
2051,15995000
2052,16992200
2053,16990900
2054,15993000
2055,16994200
2056,16990400
2057,15995000
2058,17030200
2059,15952200
2060,15996200
2061,16989200
2062,17059500
2063,16013300
2064,17011300
2065,17017500
2066,16019500
2067,16992800
2068,15994700
2069,15991500
2070,16992100
2071,16025400
2072,16958000
2073,16994500
2074,17019000
2075,15992600
2076,16994500
2077,15991200
2078,17009900
2079,15997700
2080,17081500
2081,15991200
2082,16993900
2083,16991300
2084,15992900
2085,15993000
2086,17027300
2087,16987700
2088,15999700
2089,17013700
2090,16992400
2091,15990300
2092,17082800
2093,16013000
2094,15991800
2095,17034600
2096,16992500
2097,16994500
2098,16051100
2099,16991800
2100,15991800
2101,15994400
2102,16995700
2103,16991000
2104,16990600
2105,16020100
2106,16990700
2107,15993900
2108,15992900
2109,17042000
2110,16967400
2111,16014500
2112,16017700
2113,16989200
2114,16992800
2115,15994700
2116,16990700
2117,16992700
2118,15994700
2119,16990400
2120,16155800
2121,15995100
2122,17044600
2123,17333600
2124,15995000
2125,16992500
2126,15991200
2127,16994200
2128,15991200
2129,16992400
